I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
171,173,ANG DAWA TAMANG,Nan,Nan,Np,27,Nan,12,7,1999,Kinshofer (variant 1),SK,Yoo Han-Kyu,Nan,
172,174,UM,Hong-Gil,Nan,SK,Nan,Nan,12,7,1999,Kinshofer (variant 1),SK,Yoo Han-Kyu,Nan,
173,175,ERÕSS,Zsolt,Nan,Hun,28,Nan,18,7,1999,Diamir Face direct (variant 1),Hun,Zsolt Erõss,Nan,
174,176,KURAHASHI,Hidetoshi,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
175,177,MORI,Shimpei,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
176,178,SEINO,Yoshiki,Nan,Jp,Nan,Nan,27,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
177,179,IKEDA,Takehiko,Nan,Jp,Nan,Nan,28,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
178,180,IÑURRATEGI,Alberto,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
179,181,IÑURRATEGI,Félix,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
180,182,TAMAYO,José-Carlos,Nan,E,Nan,Basque,29,7,1999,Kinshofer (variant 1),E,Alberto Iñurrategi,Nan,
181,183,KONDO,Kazuyoshi,Nan,Jp,Nan,Nan,29,7,1999,Kinshofer (variant 1),Jp,Kazuyoshi Kondo,Nan,
182,184,KWON,Oh-Soo,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
183,185,LEE,Hong-Kil,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
184,186,LEE,Hwa-Hyeung,Nan,SK,Nan,Nan,9,7,2000,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
185,187,TAKEUCHI,Hirotaka,Nan,Jp,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
186,188,MAYR,Steffen,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
187,189,ALI,Qudrat,Nan,Pak,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
188,190,EMRODIN,Nan,Nan,Pak,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
189,191,DUJMOVITS,Ralf,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
190,192,GROHS,Klaus-Dieter,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
191,193,GUSTAFSSON,Veikka,Nan,SF,29,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
192,194,KRAMER,Dieter,Nan,Ger,Nan,Nan,30,6,2001,Kinshofer (variant 1),Internat (Amical),Ralf Dujmovits (Ger),Nan,
